amfi_code,date,nav
103504,29-05-2026,91.217
103504,27-05-2026,91.9875
103504,26-05-2026,91.8812
103504,25-05-2026,92.2276
103504,22-05-2026,91.2756
103504,21-05-2026,90.7112
103504,20-05-2026,90.5043
103504,19-05-2026,90.5534
103504,18-05-2026,90.4694
103504,15-05-2026,90.5569
103504,14-05-2026,90.7681
103504,13-05-2026,90.0494
103504,12-05-2026,89.573
103504,11-05-2026,91.4631
103504,08-05-2026,92.7256
103504,07-05-2026,92.9915
103504,06-05-2026,92.7471
103504,05-05-2026,91.367
103504,04-05-2026,91.6574
103504,30-04-2026,91.2071
103504,29-04-2026,91.8907
103504,28-04-2026,91.4875
103504,27-04-2026,92.123
103504,24-04-2026,91.2486
103504,23-04-2026,92.3101
103504,22-04-2026,93.3755
103504,21-04-2026,93.691
103504,20-04-2026,92.866
103504,17-04-2026,92.9729
103504,16-04-2026,92.3158
103504,15-04-2026,92.1486
103504,13-04-2026,90.4129
103504,10-04-2026,90.8383
103504,09-04-2026,89.3115
103504,08-04-2026,90.0329
103504,07-04-2026,86.6767
103504,06-04-2026,86.1878
103504,02-04-2026,85.2286
103504,01-04-2026,85.2578
103504,31-03-2026,83.7944
103504,30-03-2026,83.7973
103504,27-03-2026,85.6826
103504,25-03-2026,87.4909
103504,24-03-2026,85.8727
103504,23-03-2026,83.9678
103504,20-03-2026,86.6324
103504,19-03-2026,86.2959
103504,18-03-2026,89.1236
103504,17-03-2026,88.351
103504,16-03-2026,87.5803
103504,13-03-2026,86.8715
103504,12-03-2026,88.9396
103504,11-03-2026,89.869
103504,10-03-2026,91.0727
103504,09-03-2026,90.0521
103504,06-03-2026,91.7862
103504,05-03-2026,92.8142
103504,04-03-2026,91.8788
103504,02-03-2026,93.6984
103504,28-02-2026,94.9031
103504,27-02-2026,94.9063
103504,26-02-2026,95.8996
103504,25-02-2026,95.631
103504,24-02-2026,95.26
103504,23-02-2026,96.0403
103504,20-02-2026,95.4299
103504,19-02-2026,94.9481
103504,18-02-2026,96.2147
103504,17-02-2026,95.7184
103504,16-02-2026,95.5164
103504,13-02-2026,95.0428
103504,12-02-2026,96.2896
103504,11-02-2026,96.6929
103504,10-02-2026,96.3975
103504,09-02-2026,95.9613
103504,06-02-2026,95.0764
103504,05-02-2026,95.152
103504,04-02-2026,95.6794
103504,03-02-2026,95.5072
103504,02-02-2026,93.2181
103504,31-01-2026,94.2931
103504,30-01-2026,94.2965
103504,29-01-2026,94.7129
103504,28-01-2026,94.3923
103504,27-01-2026,93.6381
103504,23-01-2026,93.3473
103504,22-01-2026,94.1899
103504,21-01-2026,93.6678
103504,20-01-2026,93.9654
103504,19-01-2026,95.2816
103504,16-01-2026,95.7738
103504,14-01-2026,95.6671
103504,13-01-2026,95.7703
103504,12-01-2026,95.8539
103504,09-01-2026,95.658
103504,08-01-2026,96.2622
103504,07-01-2026,97.3642
103504,06-01-2026,97.3744
103504,05-01-2026,97.1558
103504,02-01-2026,97.326
103504,01-01-2026,96.5939
103504,31-12-2025,96.3005
103504,30-12-2025,95.6065
103504,29-12-2025,95.6876
103504,26-12-2025,95.839
103504,24-12-2025,96.1016
103504,23-12-2025,96.3706
103504,22-12-2025,96.276
103504,19-12-2025,95.6924
103504,18-12-2025,95.1239
103504,17-12-2025,95.1308
103504,16-12-2025,95.324
103504,15-12-2025,95.8288
103504,12-12-2025,95.8633
103504,11-12-2025,95.3184
103504,10-12-2025,94.7874
103504,09-12-2025,95.0072
103504,08-12-2025,95.2587
103504,05-12-2025,96.0911
103504,04-12-2025,95.662
103504,03-12-2025,95.545
103504,02-12-2025,95.7863
103504,01-12-2025,96.0389
103504,30-11-2025,96.0668
103504,28-11-2025,96.0737
103504,27-11-2025,96.1264
103504,26-11-2025,96.0366
103504,25-11-2025,94.8878
103504,24-11-2025,94.9117
103504,21-11-2025,95.1094
103504,20-11-2025,95.676
103504,19-11-2025,95.2972
103504,18-11-2025,94.8976
103504,17-11-2025,95.293
103504,14-11-2025,94.9866
103504,13-11-2025,95.1314
103504,12-11-2025,94.9555
103504,11-11-2025,94.5758
103504,10-11-2025,94.2751
103504,07-11-2025,94.0252
103504,06-11-2025,94.1111
103504,04-11-2025,94.4054
103504,03-11-2025,94.8972
103504,31-10-2025,94.599
103504,30-10-2025,95.1812
103504,29-10-2025,95.7665
103504,28-10-2025,95.1522
103504,27-10-2025,95.1754
103504,24-10-2025,94.738
103504,23-10-2025,94.9748
103504,20-10-2025,94.8514
103504,17-10-2025,94.5467
103504,16-10-2025,94.2775
103504,15-10-2025,93.4143
103504,14-10-2025,92.7186
103504,13-10-2025,92.9612
103504,10-10-2025,93.2355
103504,09-10-2025,92.835
103504,08-10-2025,92.285
103504,07-10-2025,92.7091
103504,06-10-2025,92.5729
103504,03-10-2025,92.2256
103504,01-10-2025,91.8252
103504,30-09-2025,91.2313
103504,26-09-2025,91.3077
103504,25-09-2025,92.2066
103504,24-09-2025,92.7835
103504,23-09-2025,93.2495
103504,22-09-2025,93.4824
103504,19-09-2025,93.9936
103504,18-09-2025,94.2398
103504,17-09-2025,93.824
103504,16-09-2025,93.7234
103504,15-09-2025,93.0477
103504,12-09-2025,93.0692
103504,11-09-2025,92.7621
103504,10-09-2025,92.7603
103504,09-09-2025,92.407
103504,08-09-2025,92.0785
103504,05-09-2025,91.8858
103504,04-09-2025,91.8636
103504,03-09-2025,91.9136
103504,02-09-2025,91.4582
103504,01-09-2025,91.51
103504,31-08-2025,90.7215
103504,29-08-2025,90.7285
103504,28-08-2025,90.897
103504,26-08-2025,91.735
103504,25-08-2025,92.4845
103504,22-08-2025,92.2014
103504,21-08-2025,92.954
