date,nav
13-07-2026,275.45460
10-07-2026,275.40780
09-07-2026,272.59160
08-07-2026,271.66140
07-07-2026,277.51700
06-07-2026,277.84590
03-07-2026,276.03810
02-07-2026,274.86260
01-07-2026,272.93790
30-06-2026,271.35040
29-06-2026,272.22000
25-06-2026,273.46350
24-06-2026,273.07530
23-06-2026,270.83820
22-06-2026,273.92070
19-06-2026,272.90430
18-06-2026,274.14440
17-06-2026,273.21290
16-06-2026,272.12060
15-06-2026,270.58970
12-06-2026,267.97670
11-06-2026,262.65900
10-06-2026,263.26240
09-06-2026,263.56960
08-06-2026,262.22150
05-06-2026,264.97990
04-06-2026,265.42570
03-06-2026,265.30220
02-06-2026,266.18350
01-06-2026,265.04190
29-05-2026,266.90870
27-05-2026,270.93160
26-05-2026,271.00560
25-05-2026,272.34100
22-05-2026,268.71100
21-05-2026,267.86940
20-05-2026,267.91790
19-05-2026,267.45400
18-05-2026,267.81520
15-05-2026,267.74230
14-05-2026,268.08610
13-05-2026,264.95200
12-05-2026,264.57740
11-05-2026,269.51450
08-05-2026,273.59170
07-05-2026,275.29470
06-05-2026,275.34330
05-05-2026,271.96990
04-05-2026,272.94850
30-04-2026,271.57010
29-04-2026,273.60740
28-04-2026,271.54950
27-04-2026,272.64670
24-04-2026,270.44300
23-04-2026,273.49310
22-04-2026,275.81230
21-04-2026,278.05830
20-04-2026,275.66280
17-04-2026,275.53480
16-04-2026,273.76110
15-04-2026,274.15200
13-04-2026,269.75530
10-04-2026,272.10850
09-04-2026,268.99210
08-04-2026,271.50630
07-04-2026,261.62230
06-04-2026,259.86430
02-04-2026,256.97760
01-04-2026,256.59680
31-03-2026,252.66000
30-03-2026,252.66010
27-03-2026,258.18310
25-03-2026,263.69350
24-03-2026,259.23620
23-03-2026,254.71500
20-03-2026,261.52320
19-03-2026,260.25230
18-03-2026,269.02620
17-03-2026,266.80230
16-03-2026,264.85300
13-03-2026,261.93810
12-03-2026,267.45860
11-03-2026,270.03450
10-03-2026,274.50020
09-03-2026,271.85850
06-03-2026,276.63690
05-03-2026,280.18520
04-03-2026,276.95710
02-03-2026,281.31390
27-02-2026,284.85090
26-02-2026,288.44320
25-02-2026,288.28490
24-02-2026,287.63120
23-02-2026,290.88990
20-02-2026,289.28890
19-02-2026,287.96810
18-02-2026,292.09300
17-02-2026,291.00040
16-02-2026,290.51850
13-02-2026,288.12320
12-02-2026,291.92190
11-02-2026,293.57950
10-02-2026,293.36840
09-02-2026,292.60200
06-02-2026,290.60440
05-02-2026,289.98480
04-02-2026,291.46100
03-02-2026,290.91370
02-02-2026,283.69180
01-02-2026,280.72040
30-01-2026,286.31670
29-01-2026,287.42740
28-01-2026,286.56700
27-01-2026,284.67600
23-01-2026,283.24500
22-01-2026,285.97140
21-01-2026,284.47540
20-01-2026,285.32280
19-01-2026,289.31230
16-01-2026,290.54280
14-01-2026,290.04290
13-01-2026,290.79700
12-01-2026,291.45210
09-01-2026,290.24380
08-01-2026,292.43170
07-01-2026,295.41370
06-01-2026,295.84280
05-01-2026,296.65240
02-01-2026,297.53680
01-01-2026,295.48050
31-12-2025,295.28940
30-12-2025,293.13390
29-12-2025,293.17240
26-12-2025,294.30550
24-12-2025,295.43380
23-12-2025,295.82990
22-12-2025,295.77630
19-12-2025,293.44950
18-12-2025,291.74490
17-12-2025,291.77910
16-12-2025,292.24910
15-12-2025,294.13860
12-12-2025,294.36140
11-12-2025,292.68470
10-12-2025,291.09630
09-12-2025,292.01920
08-12-2025,293.38570
05-12-2025,295.93900
04-12-2025,294.21420
03-12-2025,293.67440
02-12-2025,294.19710
01-12-2025,295.81960
28-11-2025,296.12700
27-11-2025,296.27000
26-11-2025,296.15420
25-11-2025,292.53440
24-11-2025,293.37980
21-11-2025,294.60740
20-11-2025,296.00850
19-11-2025,294.43290
18-11-2025,292.82220
17-11-2025,293.98540
14-11-2025,292.81860
13-11-2025,292.47260
12-11-2025,292.43500
11-11-2025,290.39840
